,month,hour,temp,feel_temp,humidity,windspeed,count
0,1,0,9.84,14.395,0.81,0.0,16.0
1,1,1,9.02,13.635,0.8,0.0,40.0
2,1,2,9.02,13.635,0.8,0.0,32.0
3,1,3,9.84,14.395,0.75,0.0,13.0
4,1,4,9.84,14.395,0.75,0.0,1.0
5,1,5,9.84,12.879999999999999,0.75,6.0032,1.0
6,1,6,9.02,13.635,0.8,0.0,2.0
7,1,7,8.200000000000001,12.879999999999999,0.86,0.0,3.0
8,1,8,9.84,14.395,0.75,0.0,8.0
9,1,9,13.120000000000001,17.424999999999997,0.76,0.0,14.0
10,1,10,15.58,19.695,0.76,16.997899999999998,36.0
11,1,11,14.76,16.665,0.81,19.0012,56.0
12,1,12,17.22,21.21,0.77,19.0012,84.0
13,1,13,18.86,22.725,0.72,19.999499999999998,94.0
14,1,14,18.86,22.725,0.72,19.0012,106.0
15,1,15,18.04,21.97,0.77,19.999499999999998,110.0
16,1,16,17.22,21.21,0.82,19.999499999999998,93.0
17,1,17,18.04,21.97,0.82,19.0012,67.0
18,1,18,17.22,21.21,0.88,16.997899999999998,35.0
19,1,19,17.22,21.21,0.88,16.997899999999998,37.0
20,1,20,16.400000000000002,20.455000000000002,0.87,16.997899999999998,36.0
21,1,21,16.400000000000002,20.455000000000002,0.87,12.998,34.0
22,1,22,16.400000000000002,20.455000000000002,0.94,15.001299999999999,28.0
23,1,23,18.86,22.725,0.88,19.999499999999998,39.0
24,1,0,18.86,22.725,0.88,19.999499999999998,17.0
25,1,1,18.04,21.97,0.94,16.997899999999998,17.0
26,1,2,17.22,21.21,1.0,19.0012,9.0
27,1,3,18.86,22.725,0.94,12.998,6.0
28,1,4,18.86,22.725,0.94,12.998,3.0
29,1,6,17.22,21.21,0.77,19.999499999999998,2.0
30,1,7,16.400000000000002,20.455000000000002,0.76,12.998,1.0
31,1,8,16.400000000000002,20.455000000000002,0.71,15.001299999999999,8.0
32,1,9,15.58,19.695,0.76,15.001299999999999,20.0
33,1,10,14.76,17.424999999999997,0.81,15.001299999999999,53.0
34,1,11,14.76,16.665,0.71,16.997899999999998,70.0
35,1,12,14.76,16.665,0.66,19.999499999999998,93.0
36,1,13,14.76,17.424999999999997,0.66,8.9981,75.0
37,1,14,14.76,17.424999999999997,0.76,12.998,59.0
38,1,15,13.940000000000001,16.665,0.81,11.0014,74.0
39,1,16,13.940000000000001,16.665,0.71,11.0014,76.0
40,1,17,13.940000000000001,16.665,0.57,12.998,65.0
41,1,18,14.76,16.665,0.46,22.0028,53.0
42,1,19,13.120000000000001,14.395,0.42,30.002599999999997,30.0
43,1,20,12.299999999999999,13.635,0.39,23.9994,22.0
44,1,21,10.66,11.365,0.44,22.0028,31.0
45,1,22,9.84,10.605,0.44,19.999499999999998,9.0
46,1,23,9.02,11.365,0.47,11.0014,8.0
47,1,0,9.02,9.85,0.44,23.9994,5.0
48,1,1,8.200000000000001,8.334999999999999,0.44,27.999299999999998,2.0
49,1,4,6.5600000000000005,6.819999999999999,0.47,26.0027,1.0
50,1,5,6.5600000000000005,6.819999999999999,0.47,19.0012,3.0
51,1,6,5.74,5.305,0.5,26.0027,30.0
52,1,7,5.74,6.819999999999999,0.5,12.998,64.0
53,1,8,5.74,6.0600000000000005,0.5,19.0012,154.0
54,1,9,6.5600000000000005,6.819999999999999,0.43,26.0027,88.0
55,1,10,7.38,8.334999999999999,0.43,16.997899999999998,44.0
56,1,11,8.200000000000001,9.09,0.4,22.0028,51.0
57,1,12,9.02,10.605,0.35,19.999499999999998,61.0
58,1,13,9.84,10.605,0.35,19.0012,61.0
59,1,14,10.66,12.120000000000001,0.3,19.0012,77.0
60,1,15,10.66,12.120000000000001,0.3,16.997899999999998,72.0
61,1,16,10.66,12.120000000000001,0.3,16.997899999999998,76.0
62,1,17,9.84,11.365,0.3,15.001299999999999,157.0
63,1,18,9.84,12.879999999999999,0.32,7.0015,157.0
64,1,19,8.200000000000001,12.879999999999999,0.47,0.0,110.0
65,1,20,8.200000000000001,11.365,0.47,7.0015,52.0
66,1,21,7.38,9.85,0.64,8.9981,52.0
67,1,22,5.74,7.575,0.69,8.9981,20.0
68,1,23,7.38,10.605,0.55,7.0015,12.0
69,1,0,6.5600000000000005,9.09,0.55,7.0015,5.0
70,1,1,6.5600000000000005,9.09,0.59,7.0015,2.0
71,1,2,5.74,7.575,0.63,8.9981,1.0
72,1,4,5.74,9.09,0.63,6.0032,2.0
73,1,5,4.92,7.575,0.68,7.0015,4.0
74,1,6,4.92,7.575,0.74,7.0015,36.0
75,1,7,4.92,7.575,0.74,8.9981,94.0
76,1,8,5.74,7.575,0.69,11.0014,179.0
77,1,9,6.5600000000000005,7.575,0.64,15.001299999999999,100.0
78,1,10,6.5600000000000005,6.819999999999999,0.69,22.0028,42.0
79,1,11,9.02,10.605,0.51,19.999499999999998,57.0
80,1,12,9.02,11.365,0.51,11.0014,78.0
81,1,13,9.84,11.365,0.56,12.998,97.0
82,1,14,10.66,12.879999999999999,0.52,15.001299999999999,63.0
83,1,15,11.48,13.635,0.52,16.997899999999998,65.0
84,1,16,12.299999999999999,14.395,0.49,16.997899999999998,83.0
85,1,17,11.48,13.635,0.48,15.001299999999999,212.0
86,1,18,10.66,12.879999999999999,0.48,12.998,182.0
87,1,19,9.84,12.879999999999999,0.48,7.0015,112.0
88,1,20,9.84,12.879999999999999,0.48,7.0015,54.0
89,1,21,9.02,13.635,0.64,0.0,48.0
90,1,22,9.02,12.879999999999999,0.64,6.0032,35.0
91,1,23,8.200000000000001,11.365,0.69,6.0032,11.0
92,1,0,8.200000000000001,12.879999999999999,0.64,0.0,6.0
93,1,1,6.5600000000000005,9.85,0.74,6.0032,6.0
94,1,2,6.5600000000000005,9.85,0.74,6.0032,2.0
95,1,4,9.84,11.365,0.48,15.001299999999999,2.0
96,1,5,9.02,11.365,0.47,11.0014,3.0
97,1,6,8.200000000000001,9.85,0.47,15.001299999999999,33.0
98,1,7,7.38,9.09,0.43,12.998,88.0
99,1,8,8.200000000000001,9.09,0.4,19.999499999999998,195.0
100,1,9,9.02,9.85,0.37,22.0028,115.0
101,1,10,9.02,9.85,0.37,22.0028,57.0
102,1,11,10.66,11.365,0.33,22.0028,46.0
103,1,12,10.66,11.365,0.33,22.0028,79.0
104,1,13,11.48,12.879999999999999,0.3,19.999499999999998,71.0
105,1,14,12.299999999999999,14.395,0.28,12.998,62.0
106,1,15,12.299999999999999,14.395,0.28,12.998,62.0
107,1,16,12.299999999999999,15.909999999999998,0.28,6.0032,89.0
108,1,17,9.84,11.365,0.38,12.998,190.0
109,1,18,9.84,12.120000000000001,0.38,8.9981,169.0
110,1,19,9.84,12.879999999999999,0.38,7.0015,132.0
111,1,20,9.02,11.365,0.47,11.0014,89.0
112,1,21,8.200000000000001,9.85,0.51,12.998,43.0
113,1,22,7.38,9.85,0.55,8.9981,42.0
114,1,23,8.200000000000001,12.879999999999999,0.47,0.0,19.0
115,1,0,7.38,12.120000000000001,0.55,0.0,11.0
